"","NUMERO_PARTIDO","DESPESA_MAX_CAMPANHA","SIGLA_PARTIDO","SIGLA_UF","DESC_SIT_TOT_TURNO"
"113",17,2000000,"PSL","PI","NÃO ELEITO"
"114",50,50000,"PSOL","PI","NÃO ELEITO"
"115",14,12300000,"PTB","PI","NÃO ELEITO"
"116",29,5000,"PCO","PI","#NE#"
"117",45,8045000,"PSDB","PI","2º TURNO"
"118",43,5000000,"PV","PI","NÃO ELEITO"
"119",40,10000000,"PSB","PI","2º TURNO"
"120",45,8045000,"PSDB","PI","NÃO ELEITO"
"121",40,10000000,"PSB","PI","ELEITO"
"122",16,250000,"PSTU","RJ","NÃO ELEITO"
"123",21,200000,"PCB","RJ","NÃO ELEITO"
"124",22,5000000,"PR","RJ","NÃO ELEITO"
"125",43,15000000,"PV","RJ","NÃO ELEITO"
"126",50,500000,"PSOL","RJ","NÃO ELEITO"
"127",15,25000000,"PMDB","RJ","ELEITO"
"128",12,2000000,"PDT","RN","NÃO ELEITO"
"129",40,6000000,"PSB","RN","NÃO ELEITO"
"130",21,1000000,"PCB","RN","NÃO ELEITO"
"131",25,12000000,"DEM","RN","ELEITO"
"132",50,50000,"PSOL","RN","NÃO ELEITO"
"133",44,2500000,"PRP","RS","NÃO ELEITO"
"134",33,1000000,"PMN","RS","NÃO ELEITO"
"135",21,20000,"PCB","RS","NÃO ELEITO"
"136",28,500000,"PRTB","RS","#NE#"
"137",15,14000000,"PMDB","RS","NÃO ELEITO"
"138",16,50000,"PSTU","RS","NÃO ELEITO"
"139",43,5000000,"PV","RS","NÃO ELEITO"
"140",50,500000,"PSOL","RS","NÃO ELEITO"
"141",13,10000000,"PT","RS","ELEITO"
"142",45,23000000,"PSDB","RS","NÃO ELEITO"
"143",15,10000000,"PMDB","RO","2º TURNO"
"144",13,10000000,"PT","RO","NÃO ELEITO"
"145",45,12000000,"PSDB","RO","REGISTRO NEGADO ANTES DA ELEIÇÃO"
"146",23,12000000,"PPS","RO","2º TURNO"
"147",50,100000,"PSOL","RO","NÃO ELEITO"
"148",15,10000000,"PMDB","RO","ELEITO"
"149",23,12000000,"PPS","RO","NÃO ELEITO"
"150",29,40000,"PCO","RR","#NE#"
"151",45,20000000,"PSDB","RR","2º TURNO"
"152",11,10000000,"PP","RR","2º TURNO"
"153",31,500000,"PHS","RR","NÃO ELEITO"
"154",50,50000,"PSOL","RR","NÃO ELEITO"
"155",45,20000000,"PSDB","RR","ELEITO"
"156",11,10000000,"PP","RR","NÃO ELEITO"
"157",21,5000,"PCB","SC","NÃO ELEITO"
"158",11,11000000,"PP","SC","NÃO ELEITO"
"159",16,25000,"PSTU","SC","NÃO ELEITO"
"160",13,5000000,"PT","SC","NÃO ELEITO"
"161",33,1000000,"PMN","SC","NÃO ELEITO"
"162",25,20000000,"DEM","SC","ELEITO"
"163",43,2000000,"PV","SC","REGISTRO NEGADO ANTES DA ELEIÇÃO"
"164",50,100000,"PSOL","SC","NÃO ELEITO"
"165",13,46000000,"PT","SP","NÃO ELEITO"
"166",29,50000,"PCO","SP","NÃO ELEITO"
"167",11,20000000,"PP","SP","NÃO ELEITO"
"168",43,20000000,"PV","SP","NÃO ELEITO"
"169",45,58000000,"PSDB","SP","ELEITO"
"170",21,500000,"PCB","SP","REGISTRO NEGADO ANTES DA ELEIÇÃO"
"171",16,250000,"PSTU","SP","NÃO ELEITO"
"172",40,50000000,"PSB","SP","NÃO ELEITO"
"173",50,800000,"PSOL","SP","REGISTRO NEGADO ANTES DA ELEIÇÃO"
"174",27,2000000,"PSDC","SE","NÃO ELEITO"
"175",50,50000,"PSOL","SE","NÃO ELEITO"
"176",28,500000,"PRTB","SE","NÃO ELEITO"
"177",25,10000000,"DEM","SE","NÃO ELEITO"
"178",21,20000,"PCB","SE","NÃO ELEITO"
"179",13,8000000,"PT","SE","ELEITO"
"180",16,150000,"PSTU","SE","NÃO ELEITO"
"181",15,12000000,"PMDB","TO","NÃO ELEITO"
"182",45,21000000,"PSDB","TO","ELEITO"
